iter	Logloss
0	0.6481365089
1	0.6139528369
2	0.5898092798
3	0.5684314014
4	0.5539314326
5	0.5414551946
6	0.5315370518
7	0.5231056595
8	0.5159024941
9	0.5104847076
10	0.5056053119
11	0.5020618845
12	0.4995380126
13	0.4969300724
14	0.4948645596
15	0.4934834911
16	0.4913648524
17	0.4902200423
18	0.4885583002
19	0.4875536844
20	0.4868604655
21	0.4862666109
22	0.4855926642
23	0.4849191445
24	0.484256031
25	0.4837115282
26	0.4832038467
27	0.4826066184
28	0.4821182613
29	0.4817970504
30	0.4813188548
31	0.4810473838
32	0.4807599734
33	0.4804667882
34	0.4802338805
35	0.4800141282
36	0.4797721058
37	0.4795192962
38	0.4793702393
39	0.4791647501
40	0.4789649208
41	0.478802941
42	0.4786189226
43	0.4784518279
44	0.478264203
45	0.4781778129
46	0.4780585309
47	0.4779190148
48	0.4778184183
49	0.4775381723
50	0.4773763475
51	0.4772628368
52	0.4771572676
53	0.4770441536
54	0.4769136778
55	0.4768064643
56	0.4766269363
57	0.4764479444
58	0.4763296669
59	0.476222633
60	0.4761240668
61	0.4760282632
62	0.4758443063
63	0.4757784474
64	0.4756837872
65	0.4755379852
66	0.4754271568
67	0.4753529114
68	0.4751612663
69	0.4750543278
70	0.4749579953
71	0.4748916446
72	0.4748204156
73	0.4747485198
74	0.4747044277
75	0.4746047106
76	0.47448485
77	0.4744204442
78	0.4743446283
79	0.4743003111
80	0.4742115477
81	0.4741310684
82	0.4740245871
83	0.4738778967
84	0.4738192059
85	0.4737338281
86	0.473608863
87	0.4735179563
88	0.4734412547
89	0.4732845917
90	0.473180013
91	0.4730741295
92	0.4729866163
93	0.4729402132
94	0.4728549428
95	0.4728089795
96	0.472689981
97	0.4726278998
98	0.4724669568
99	0.4723567201
100	0.4723175415
101	0.4722695881
102	0.4722038389
103	0.4720293994
104	0.4719414122
105	0.4718843131
106	0.4717649672
107	0.4716495931
108	0.4715652999
109	0.4714863587
110	0.4714181547
111	0.4713580351
112	0.4712011666
113	0.471140078
114	0.471065914
115	0.4709931889
116	0.4708537785
117	0.4707457159
118	0.4706691545
119	0.4706156617
120	0.4705297082
121	0.470474522
122	0.4704397852
123	0.470369478
124	0.4703080096
125	0.4702476443
126	0.4701426548
127	0.4700504314
128	0.4699176594
129	0.4698541424
130	0.469779863
131	0.469720339
132	0.469586986
133	0.4695031235
134	0.4694080838
135	0.4693292464
136	0.4692785131
137	0.4691794074
138	0.4691056845
139	0.4689764955
140	0.4688769863
141	0.4687780491
142	0.4686553683
143	0.4685958799
144	0.4685213589
145	0.4684584123
146	0.4683821613
147	0.4683269409
148	0.468242866
149	0.4681499859
150	0.4680535578
151	0.4679907414
152	0.4679376666
153	0.4678491183
154	0.4678065946
155	0.4677584574
156	0.4677095308
157	0.4676198735
158	0.4675539815
159	0.4674780791
160	0.4674320778
161	0.4673512608
162	0.467280822
163	0.4671887337
164	0.4671094899
165	0.4670479254
166	0.466982728
167	0.466895665
168	0.4668389195
169	0.4667732011
170	0.4667063863
171	0.4666461941
172	0.466581124
173	0.4665182475
174	0.4664277997
175	0.4663692586
176	0.4663005352
177	0.4662248325
178	0.4661708092
179	0.46609703
180	0.4660300269
181	0.4659804569
182	0.465932583
183	0.4657855007
184	0.4657232133
185	0.4656604579
186	0.4656002012
187	0.4655157234
188	0.4654470393
189	0.4653958862
190	0.4653464232
191	0.4652980281
192	0.4652541096
193	0.4651901876
194	0.4651239454
195	0.4650159456
196	0.4649323878
197	0.4648338515
198	0.4647744806
199	0.464715242
200	0.4646599284
201	0.4646045082
202	0.464554648
203	0.4645136564
204	0.4644552149
205	0.4644181431
206	0.4643678894
207	0.4643133883
208	0.4642539496
209	0.4642168185
210	0.4641753169
211	0.4640887878
212	0.4640353036
213	0.4639687834
214	0.463907045
215	0.4638590126
216	0.4638243505
217	0.463788892
218	0.4637261077
219	0.4636700503
220	0.4636255332
221	0.4635504553
222	0.4634925819
223	0.4634556451
224	0.4634225764
225	0.4633752496
226	0.4632960997
227	0.4632413799
228	0.4631615867
229	0.463110316
230	0.4630702721
231	0.463022759
232	0.4629673668
233	0.4629088763
234	0.4628410002
235	0.4627962095
236	0.4627480525
237	0.4627057416
238	0.4626642821
239	0.4626042959
240	0.4625615409
241	0.4625229263
242	0.4624775017
243	0.462413577
244	0.4623580907
245	0.4623128352
246	0.4622683622
247	0.4621703605
248	0.4621128622
249	0.4620714154
250	0.4620133609
251	0.4619613464
252	0.4619079813
253	0.4618652887
254	0.4618191878
255	0.4617861474
256	0.461747528
257	0.4616669781
258	0.4616205672
259	0.461582292
260	0.4615167349
261	0.4614643714
262	0.4614272064
263	0.4613939407
264	0.4613471228
265	0.4612459803
266	0.461185225
267	0.4611341832
268	0.4610633994
269	0.4609714861
270	0.4609005497
271	0.4608367961
272	0.4607738526
273	0.4607111461
274	0.4606741138
275	0.4606362974
276	0.4605876853
277	0.4605458603
278	0.4604757223
279	0.460437712
280	0.460391725
281	0.4603610059
282	0.4603150807
283	0.4602524583
284	0.4602062616
285	0.4601650183
286	0.460105646
287	0.4600557022
