iter	Passed	Remaining
0	96	96610
1	121	60601
2	148	49337
3	173	43079
4	199	39632
5	225	37318
6	250	35557
7	276	34270
8	302	33311
9	329	32590
10	359	32292
11	384	31694
12	411	31225
13	437	30812
14	464	30510
15	491	30235
16	516	29854
17	544	29697
18	570	29451
19	593	29074
20	620	28925
21	642	28578
22	669	28459
23	694	28230
24	719	28049
25	743	27858
26	767	27661
27	793	27531
28	818	27420
29	845	27324
30	869	27164
31	894	27070
32	918	26907
33	945	26854
34	968	26694
35	992	26577
36	1016	26463
37	1040	26332
38	1066	26276
39	1090	26164
40	1112	26033
41	1136	25920
42	1162	25879
43	1188	25821
44	1210	25689
45	1235	25617
46	1257	25494
47	1281	25421
48	1306	25353
49	1332	25321
50	1362	25350
51	1405	25620
52	1435	25655
53	1462	25616
54	1490	25601
55	1517	25573
56	1544	25552
57	1571	25517
58	1595	25440
59	1622	25415
60	1650	25402
61	1676	25356
62	1698	25265
63	1724	25214
64	1747	25140
65	1774	25106
66	1796	25021
67	1823	24987
68	1847	24926
69	1872	24877
70	1897	24833
71	1921	24771
72	1949	24753
73	1975	24716
74	1999	24660
75	2024	24616
76	2049	24567
77	2073	24515
78	2098	24469
79	2123	24423
80	2147	24368
81	2174	24347
82	2198	24287
83	2222	24236
84	2246	24182
85	2272	24149
86	2297	24106
87	2321	24056
88	2347	24028
89	2370	23970
90	2396	23942
91	2421	23902
92	2447	23865
93	2471	23821
94	2495	23776
95	2520	23738
96	2545	23700
97	2569	23647
98	2594	23613
99	2620	23583
100	2645	23546
101	2670	23514
102	2694	23467
103	2719	23427
104	2740	23359
105	2765	23327
106	2788	23275
107	2813	23234
108	2838	23201
109	2862	23162
110	2886	23115
111	2911	23086
112	2934	23033
113	2956	22977
114	2982	22954
115	3006	22911
116	3030	22870
117	3054	22829
118	3077	22781
119	3098	22725
120	3125	22705
121	3148	22662
122	3172	22622
123	3194	22569
124	3217	22525
125	3240	22478
126	3266	22452
127	3290	22419
128	3314	22382
129	3341	22360
130	3363	22311
131	3387	22274
132	3412	22247
133	3440	22232
134	3466	22213
135	3492	22186
136	3517	22155
137	3542	22130
138	3566	22090
139	3589	22050
140	3615	22025
141	3639	21990
142	3665	21965
143	3692	21947
144	3714	21904
145	3739	21871
146	3762	21832
147	3785	21790
148	3810	21760
149	3835	21736
